INFO: 2021-12-10 00:40:29,795: 127.0.0.1 - - [10/Dec/2021 00:40:29] "GET /index?update=00%3A41&two=test+3&news=news HTTP/1.1" 200 -
INFO: 2021-12-10 00:40:29,814: 127.0.0.1 - - [10/Dec/2021 00:40:29] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
DEBUG: 2021-12-10 00:40:31,219: Data is being requested from the API
DEBUG: 2021-12-10 00:40:31,223: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:31,326: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:31,332: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:31,432: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:31,438: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:31,544: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:31,550: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:40:31,656: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:40:31,658: The api has returned the data.
INFO: 2021-12-10 00:40:31,707: The data has been processed.
DEBUG: 2021-12-10 00:40:31,710: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:40:31,875: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:40:31,877: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:40:31,877: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:31,877: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:31,877: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:40:31,877: The update has been removed
INFO: 2021-12-10 00:40:31,878: 127.0.0.1 - - [10/Dec/2021 00:40:31] "GET /index?update_item=test+3+%7C+Updating+News HTTP/1.1" 200 -
INFO: 2021-12-10 00:40:31,895: 127.0.0.1 - - [10/Dec/2021 00:40:31] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
DEBUG: 2021-12-10 00:41:31,948: Data is being requested from the API
DEBUG: 2021-12-10 00:41:31,952: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:41:32,064: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:41:32,070: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:41:32,155: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:41:32,161: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:41:32,247: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:41:32,253: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:41:32,341: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:41:32,343: The api has returned the data.
INFO: 2021-12-10 00:41:32,391: The data has been processed.
DEBUG: 2021-12-10 00:41:32,395: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:41:32,816: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:41:32,818: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:41:32,818: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:41:32,818: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:41:32,818: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:41:32,818: The update has been removed
INFO: 2021-12-10 00:41:32,818: Covid data and news have been updated.
DEBUG: 2021-12-10 00:41:32,819: Data is being requested from the API
DEBUG: 2021-12-10 00:41:32,822: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:41:32,910: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:41:32,916: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:41:32,998: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DExeter%3BareaType%3Dltla&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:41:33,004: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
